number,value,state,datetime_start,datetime_complete,params,user_attrs,param_max_depth,param_eta,param_subsample,param_colsample_bytree,param_lambda,param_alpha,param_min_child_weight
116,1.7238026142120362,1,2025-10-25 11:55:17.612337,2025-10-25 11:55:19.337944,"{'max_depth': 3, 'eta': 0.005449648569450501, 'subsample': 0.9173962908020988, 'colsample_bytree': 0.5561634866472024, 'lambda': 0.00101131019616973, 'alpha': 6.895695434813254e-05, 'min_child_weight': 1}",{'avg_rmse': 1.7238026142120362},3,0.005449648569450501,0.9173962908020988,0.5561634866472024,0.00101131019616973,6.895695434813254e-05,1
117,1.7260158777236938,1,2025-10-25 11:55:19.338181,2025-10-25 11:55:21.386486,"{'max_depth': 4, 'eta': 0.005667864165664012, 'subsample': 0.9795387251465523, 'colsample_bytree': 0.5484382030798417, 'lambda': 0.004838460463012859, 'alpha': 0.00013681640197047118, 'min_child_weight': 1}",{'avg_rmse': 1.7260158777236938},4,0.005667864165664012,0.9795387251465523,0.5484382030798417,0.004838460463012859,0.00013681640197047118,1
118,1.7343634128570558,1,2025-10-25 11:55:21.386739,2025-10-25 11:55:22.973786,"{'max_depth': 4, 'eta': 0.0043429752251189, 'subsample': 0.9163599602561512, 'colsample_bytree': 0.5803360117084396, 'lambda': 0.0011786747243177106, 'alpha': 0.2636403495003488, 'min_child_weight': 1}",{'avg_rmse': 1.7343634128570558},4,0.0043429752251189,0.9163599602561512,0.5803360117084396,0.0011786747243177106,0.2636403495003488,1
119,1.7338002681732179,1,2025-10-25 11:55:22.974035,2025-10-25 11:55:24.726713,"{'max_depth': 4, 'eta': 0.005039517522465197, 'subsample': 0.8888865034557815, 'colsample_bytree': 0.5316301589646285, 'lambda': 0.002769813158887213, 'alpha': 4.334959583685603e-05, 'min_child_weight': 1}",{'avg_rmse': 1.7338002681732179},4,0.005039517522465197,0.8888865034557815,0.5316301589646285,0.002769813158887213,4.334959583685603e-05,1
120,1.7727438688278199,1,2025-10-25 11:55:24.727012,2025-10-25 11:55:26.142634,"{'max_depth': 3, 'eta': 0.0036386766475593854, 'subsample': 0.8575692461462232, 'colsample_bytree': 0.5462934607011385, 'lambda': 0.09033625880283176, 'alpha': 0.10523171999138285, 'min_child_weight': 2}",{'avg_rmse': 1.7727438688278199},3,0.0036386766475593854,0.8575692461462232,0.5462934607011385,0.09033625880283176,0.10523171999138285,2
121,1.7318467378616333,1,2025-10-25 11:55:26.143026,2025-10-25 11:55:27.924887,"{'max_depth': 4, 'eta': 0.005403046088234229, 'subsample': 0.9479225089613306, 'colsample_bytree': 0.550936886415706, 'lambda': 0.004848280824909358, 'alpha': 5.381617445092531e-05, 'min_child_weight': 1}",{'avg_rmse': 1.7318467378616333},4,0.005403046088234229,0.9479225089613306,0.550936886415706,0.004848280824909358,5.381617445092531e-05,1
122,1.741673469543457,1,2025-10-25 11:55:27.925102,2025-10-25 11:55:29.615042,"{'max_depth': 4, 'eta': 0.0064762010949034055, 'subsample': 0.8404706078787891, 'colsample_bytree': 0.5191952699979682, 'lambda': 0.0004910421086357311, 'alpha': 2.168497753997502e-05, 'min_child_weight': 1}",{'avg_rmse': 1.741673469543457},4,0.0064762010949034055,0.8404706078787891,0.5191952699979682,0.0004910421086357311,2.168497753997502e-05,1
123,1.7033213376998901,1,2025-10-25 11:55:29.615312,2025-10-25 11:55:31.585985,"{'max_depth': 5, 'eta': 0.005643024645392275, 'subsample': 0.9873763636148055, 'colsample_bytree': 0.5495792476673701, 'lambda': 0.006176626368761232, 'alpha': 0.32071786540263547, 'min_child_weight': 1}",{'avg_rmse': 1.7033213376998901},5,0.005643024645392275,0.9873763636148055,0.5495792476673701,0.006176626368761232,0.32071786540263547,1
124,1.708623480796814,1,2025-10-25 11:55:31.586267,2025-10-25 11:55:33.245651,"{'max_depth': 5, 'eta': 0.006365161666435581, 'subsample': 0.9826783390503061, 'colsample_bytree': 0.5594361978566919, 'lambda': 0.0024115867798551625, 'alpha': 0.18188417037384572, 'min_child_weight': 1}",{'avg_rmse': 1.708623480796814},5,0.006365161666435581,0.9826783390503061,0.5594361978566919,0.0024115867798551625,0.18188417037384572,1
125,1.7134938716888428,1,2025-10-25 11:55:33.245880,2025-10-25 11:55:35.107900,"{'max_depth': 5, 'eta': 0.006438710761577137, 'subsample': 0.9776463076193229, 'colsample_bytree': 0.5571353388323406, 'lambda': 0.0023057941305484326, 'alpha': 0.064214384330225, 'min_child_weight': 1}",{'avg_rmse': 1.7134938716888428},5,0.006438710761577137,0.9776463076193229,0.5571353388323406,0.0023057941305484326,0.064214384330225,1
